date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,False
0.0,Hungary,Germany,3,3,Friendly,Budapest,Hungary,False
0.0,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,False
0.0,Austria,Hungary,3,4,Friendly,Vienna,Austria,False
0.0,Belgium,France,5,2,Friendly,Brussels,Belgium,False
0.0,Hungary,England,2,4,Friendly,Budapest,Hungary,False
0.0,Hungary,Austria,1,1,Friendly,Budapest,Hungary,False
0.0,Hungary,England,2,8,Friendly,Budapest,Hungary,False
0.0,Austria,England,1,8,Friendly,Vienna,Austria,False
0.0,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False
0.0,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay,False
0.0,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Northern Ireland,England,1,1,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,Wales,1,0,British Championship,Kilmarnock,Scotland,False
0.0,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,False
0.0,Wales,England,0,1,British Championship,Cardiff,Wales,False
0.0,Northern Ireland,Scotland,1,0,British Championship,Belfast,Republic of Ireland,False
0.0,Scotland,England,2,0,British Championship,Glasgow,Scotland,False
0.0,France,Belgium,0,4,Friendly,Gentilly,France,False
0.0,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,False
0.0,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,False
0.0,Wales,Northern Ireland,4,1,British Championship,Wrexham,Wales,False
0.0,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,False
0.0,Austria,Hungary,2,1,Friendly,Vienna,Austria,False
0.0,Italy,France,6,2,Friendly,Milan,Italy,False
0.0,Germany,Belgium,0,3,Friendly,Duisburg,Germany,False
0.0,Hungary,Italy,6,1,Friendly,Budapest,Hungary,False
0.0,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,False
0.0,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,True
0.0,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,False
0.0,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,False
0.0,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,False
0.0,Chile,Argentina,0,3,Friendly,Viña del Mar,Chile,False
0.0,Norway,Sweden,0,4,Friendly,Kristiania,Norway,False
0.0,Germany,Netherlands,1,2,Friendly,Kleve,Germany,False
0.0,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False
0.0,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,France,Hungary,0,3,Friendly,Maisons-Alfort,France,False
0.0,Italy,Hungary,0,1,Friendly,Milan,Italy,False
0.0,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,False
0.0,Northern Ireland,Wales,1,2,British Championship,Belfast,Republic of Ireland,False
0.0,England,Northern Ireland,2,1,British Championship,Derby,England,False
0.0,Wales,Scotland,2,2,British Championship,Cardiff,Wales,False
0.0,England,Wales,3,0,British Championship,London,England,False
0.0,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,False
0.0,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,False
0.0,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,False
0.0,England,Scotland,1,1,British Championship,Liverpool,England,False
0.0,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,False
0.0,France,Italy,2,2,Friendly,Saint-Ouen,France,False
0.0,Belgium,Germany,2,1,Friendly,Liège,Belgium,False
0.0,Switzerland,France,5,2,Friendly,Geneva,Switzerland,False
0.0,Belgium,France,7,1,Friendly,Uccle,Belgium,False
0.0,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
0.0,Italy,Switzerland,2,2,Friendly,Milan,Italy,False
0.0,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,False
0.0,Sweden,Germany,2,4,Friendly,Solna,Sweden,False
0.0,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,False
0.0,Sweden,Norway,4,1,Friendly,Solna,Sweden,False
0.0,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,False
0.0,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
0.0,Germany,Austria,1,2,Friendly,Dresden,Germany,False
0.0,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Finland,Sweden,2,5,Friendly,Helsinki,Finland,False
0.0,Germany,Sweden,1,3,Friendly,Hamburg,Germany,False
0.0,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,False
0.0,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,False
0.0,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
0.0,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False
0.0,Germany,Hungary,1,4,Friendly,Munich,Germany,False
0.0,France,Belgium,1,1,Friendly,Saint-Ouen,France,False
0.0,Northern Ireland,England,1,6,British Championship,Dublin,Republic of Ireland,False
0.0,France,Catalonia,7,0,Friendly,Paris,France,False
0.0,France,Switzerland,4,1,Friendly,Saint-Ouen,France,False
0.0,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,False
